median_home_value,population,families,households,pct_female,pct_12_24_yrs,pct_25_64_yrs,pct_65_plus,pct_single_adult,number_of_homes,vacancy_rate,pct_5plus_rooms,avg_rent,county_id
39300,1872,515,739,0.5486111,0.1607906,0.5058761,0.1698718,0.300406,820,0.0987805,0.7146341,192,54
40700,1917,565,674,0.5091288,0.2008346,0.5279082,0.1006781,0.1409496,732,0.079235,0.807377,319,55
66000,4778,1322,2106,0.5460444,0.1293428,0.5843449,0.1220176,0.3157645,2229,0.0551817,0.7182593,510,56
34400,2136,605,834,0.5351124,0.1900749,0.4756554,0.1643258,0.2601918,887,0.059752,0.6854566,225,57
29400,2414,602,877,0.562966,0.1822701,0.4316487,0.1843413,0.2930445,954,0.0807128,0.721174,190,58
17900,1415,373,542,0.5491166,0.2056537,0.4734982,0.1491166,0.2804428,599,0.0951586,0.7045075,152,59
18900,2115,602,857,0.5390071,0.1929078,0.4647754,0.2014184,0.2847141,941,0.0892667,0.6620616,172,60
26400,1170,311,427,0.5213675,0.2153846,0.4307692,0.1512821,0.2599532,461,0.0737527,0.6876356,154,61
14999,669,184,249,0.5575486,0.2152466,0.445441,0.1539611,0.2449799,292,0.1472603,0.7294521,129,62
34000,1174,343,460,0.532368,0.1780239,0.4625213,0.1763203,0.2456522,560,0.1785714,0.6553571,221,63
52300,22658,6692,8518,0.5186248,0.1835996,0.5493865,0.0992585,0.1860765,9081,0.0619976,0.802775,363,64
33400,2893,822,1153,0.5409609,0.193225,0.4842724,0.1894227,0.272333,1254,0.0805423,0.6937799,198,65
30300,2508,631,828,0.5283094,0.2041467,0.4533493,0.1726475,0.2210145,907,0.0871003,0.7276736,236,66
30300,1094,274,372,0.5566728,0.1882998,0.4414991,0.1764168,0.25,434,0.1428571,0.6958525,157,67
53700,1329,372,447,0.5071482,0.1978932,0.51693,0.0737397,0.147651,486,0.0802469,0.755144,322,68
28900,1479,455,577,0.5280595,0.1771467,0.5023665,0.1697093,0.1906412,633,0.0884676,0.7977883,178,69
31500,6649,1976,2796,0.5432396,0.15385769999999999,0.4681907,0.2278538,0.2750358,2992,0.065508,0.7894385,251,70
30100,4579,1335,1778,0.5311203,0.205285,0.4841668,0.1384582,0.2350956,1899,0.0637177,0.7256451,209,71
32600,3671,989,1260,0.5227458,0.2053936,0.4622719,0.1285753,0.202381,1397,0.0980673,0.7265569,235,72
26300,411,120,177,0.5012165,0.2092457,0.5644769,0.1313869,0.2937853,203,0.1280788,0.6995074,240,73
19200,1564,392,587,0.5332481,0.1918159,0.4226343,0.1841432,0.3049404,655,0.1038168,0.6473282,133,74
14999,1365,292,449,0.4681319,0.174359,0.4981685,0.1413919,0.325167,513,0.1247563,0.625731,165,75
21900,294,82,113,0.5544218,0.1904762,0.4795918,0.1564626,0.2743363,125,0.096,0.832,175,76
22800,431,113,174,0.5522042,0.2157773,0.450116,0.1716937,0.3333333,201,0.1343284,0.7263682,175,77
